Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
416,ōrdō -īnis m.,"order, rank",,,,FALSE,FALSE,,,,Noun: 3rd Declension,War and Peace
642,orior orīrī ortus sum,"arise, begin",,,,FALSE,FALSE,,,,Verb: Deponent,Time
755,ōrō -āre,pray,,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Religion
147,ōs ōris n.,"mouth, face",os1,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Body
696,os ossis n.,bone,os2,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Body
371,ostendō ostendere ostendī ostentum,"show, hold out",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Other Senses
715,ōtium -ī n.,leisure,,,,FALSE,FALSE,,,,Noun: 2nd Declension,Social Life
944,paene,almost,,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
281,pār paris,equal,,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Measurement
,parātus -a -um,ready,paro1,split from paro,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,
412,parcō parcere pepercī parsum,"spare, be sparing of (+ dat.)",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,War and Peace
190,parēns -ntis m./f.,parent,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Household
847,pāreō pārēre pāruī,obey,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Verbs of Compelling/Directing
829,pariō parere peperī partum,"bring forth, give birth to; accomplish",pario1,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Life and Being
160,parō -āre,"prepare, acquire",paro1,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Making/Doing
65,pars partis f.,part,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Measurement
204,parum,too little,,,,FALSE,FALSE,,,,Adverb,Measurement
143,parvus -a -um,small,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
550,pateō patēre patuī,"lie open, extend; be evident or obvious",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Geography
71,pater patris m.,"father, ancestor",,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Household
185,patior patī passus sum,"permit, endure",,,,FALSE,FALSE,,,,Verb: Deponent,Verbs of Compelling/Directing
342,patria -ae f.,"fatherland, country",,,,FALSE,FALSE,,,,Noun: 1st Declension,Geography
858,paucī -ae -a,few,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
872,paulō,"to only a small extent, slightly, a little",paulum,"I’m inclinded to put both paulō and paulum under the lemma paulum, but L&S just direct reader to paulus anyway, so maybe just go with paulus1",,TRUE,FALSE,,,,Adverb,Measurement
872,paulum,"to only a small extent, slightly, a little",paulum,split from paulō,,FALSE,FALSE,,,,Adverb,Measurement
844,pauper -eris,"poor, lowly",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Business/Money
388,pāx pācis f.,peace,,,,FALSE,FALSE,,,,Noun: 3rd Declension,War and Peace
792,peccō -āre,"commit a wrong, injure",,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Justice
183,pectus -oris n.,"chest, breast",,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Body
530,pecūnia -ae f.,money,,,,FALSE,FALSE,,,,Noun: 1st Declension,Business/Money
566,pecus -oris n.,"cattle, sheep",pecus1,pecus1 isn’t offered in Hedera,,FALSE,FALSE,,,,Noun: 3rd Declension,Animals/Plants
563,pellō pellere pepulī pulsum,"strike, beat, push, drive",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Violence
988,pendō pendere pependī pēnsum,"weigh, hang, suspend; pay",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Business/Money
30,per,through (+acc.),,,,TRUE,FALSE,,,,Preposition,Place
488,perdō -dere -didī -ditum,destroy,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Violence
268,pereō -īre -iī -itum,"perish, be lost",,,,FALSE,FALSE,,,,Verb: Irregular,Violence
821,pergō pergere perrēxī perrēctum,"continue, proceed; awaken",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
265,perīculum -ī n.,danger,,,,TRUE,FALSE,,,,Noun: 2nd Declension,Violence
702,permittō -mittere -mīsī -missum,"yield, allow, permit",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
891,perpetuus -a -um,"unbroken, perpetual",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Lengths of Time
866,pertineō -tinēre -tinuī,"extend over, reach; refer to, pertain to, be the business of",,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Education/Knowledge
409,perveniō -venīre -vēnī -ventum,"arrive, reach",,,,FALSE,FALSE,,,,Verb: 4th Conjugation,Travel
199,pēs pedis m.,foot,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Body
83,petō petere petīvī petītum,"seek, aim at",,,,TRUE,FALSE,,,,Verb: 3rd Conjugation -ō,Motion
767,pietās -tātis f.,"sense of duty, devotion, esp. between parents and children",pietas1,,,FALSE,FALSE,,,,Noun: 3rd Declension,The Household
748,pius -a -um,"dutiful, devoted, just, pious",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
287,placeō placēre placuī placitum,please,,,,FALSE,FALSE,,,,Verb: 2nd Conjugation,Social Life
649,plēbs plēbis f.,the common people,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The City
459,plēnus -a -um,full,,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
974,plērumque,generally,,not found in Morpheus. Already own entry in dcc.,,FALSE,FALSE,,,,Adverb,Measurement
968,plērus- plēra- plērumque,"the greater part, very many, most, the majority",plerus,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Measurement
223,poena -ae f.,"penalty, punishment",,,,FALSE,FALSE,,,,Noun: 1st Declension,Justice
913,poēta -ae m.,poet,,,,FALSE,FALSE,,,,Noun: 1st Declension,Writing/Poetry
636,pondus ponderis n.,weight,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Measurement
102,pōnō pōnere posuī positum,"put, place; put aside",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Verbs of Transport
630,pontus -ī m.,"the open sea, the deep",pontus1,,,FALSE,FALSE,,,,Noun: 2nd Declension,Earth and Water
122,populus -ī m.,people,populus1,,,FALSE,FALSE,,,,Noun: 2nd Declension,The City
759,porta -ae f.,gate,,,,TRUE,FALSE,,,,Noun: 1st Declension,The City
853,portō -āre,carry a load,,,,FALSE,FALSE,,,,Verb: 1st Conjugation,Measurement
487,pōscō pōscere popōscī,"demand, claim; inquire into",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Speech/Oratory
23,possum posse potuī,be able,,,,TRUE,FALSE,,,,Verb: Irregular,Making/Doing
164,post 1,after (adv.),post1,,,TRUE,FALSE,,,,Adverb,Time
164,post 2,after (prep. +acc.),post1,split from adverb. post2 in elementary Lewis,,FALSE,FALSE,,,,Preposition,Time
964,posteā,afterwards,,,,FALSE,FALSE,,,,Adverb,Time
877,posterus -a -um,"next, later",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Time
384,postquam,after,,,,FALSE,FALSE,,,,Conjunction,Time
567,potēns potentis,"able, powerful",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Personality Traits/Characteristics
737,potestās -ātis f.,power,,,,FALSE,FALSE,,,,Noun: 3rd Declension,The City
947,potis -e,"powerful, able",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Personality Traits/Characteristics
584,praebeō -ēre -uī -itum,"furnish, supply, render",,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Verbs of Transport
825,praeceptum -ī n.,"rule, precept; command",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Justice
945,praecipiō -cipere -cēpī -ceptum,"anticipate, advise, warn",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -iō,Speech/Oratory
626,praeda -ae f.,"booty, prey",,,,FALSE,FALSE,,,,Noun: 1st Declension,War and Peace
680,praemium -ī n.,"bounty, reward",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Business/Money
822,praesēns -ntis,"present, in person, ready",,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Place
582,praesidium -ī n.,"garrison, protection",,,,FALSE,FALSE,,,,Noun: 2nd Declension,War and Peace
423,praestō -stāre -stitī -stitum,"excel, exhibit",praesto2,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Other Senses
756,praeter,"by, along, past; besides, except (+ acc.)",,,,FALSE,FALSE,,,,Preposition,Place
681,praetereā,"besides, moreover",,,,FALSE,FALSE,,,,Adverb,Conjunctions/Adverbs
878,praetor -ōris m.,"praetor, one of the chief Roman magistrates",,,,FALSE,FALSE,,,,Noun: 3rd Declension,The City
492,precor -ārī,"pray, invoke",,,,FALSE,FALSE,,,,Verb: Deponent,Religion
240,premō premere pressī pressum,"press, pursue, overwhelm",,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,War and Peace
629,pretium -ī n.,"price, worth, reward; pretium operae: a reward for trouble",,,,TRUE,FALSE,,,,Noun: 2nd Declension,Business/Money
520,prex precis f.,"prayers, entreaties",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Religion
