Frequency Rank,Headword,Definitions,Morpheus,*Comments*,CL5,AG,AL,K&R,Wheelock,Shelmerdine,Part of Speech,Semantic Group
665,vetō -āre vetuī vetītum,forbid,,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Verbs of Compelling/Directing
295,vetus veteris,old,,,,FALSE,FALSE,,,,Adjective: 3rd Declension,Time
196,via -ae f.,"way, street",,,,FALSE,FALSE,,,,Noun: 1st Declension,Travel
940,vīcīnus -a -um,"neighboring, near",,,,FALSE,FALSE,,,,Adjective: 1st and 2nd Declension,Geography
340,victor -ōris m.,conqueror,victor1,,,TRUE,FALSE,,,,Noun: 3rd Declension,War and Peace
750,victōria -ae f.,victory,,,,FALSE,FALSE,,,,Noun: 1st Declension,War and Peace
31,videō vidēre vīdī vīsum,see,,,,TRUE,FALSE,,,,Verb: 2nd Conjugation,Vision
101,vincō vincere vīcī victum,conquer,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,War and Peace
594,vinculum -ī n.,"bond, fetter, tie",,,,FALSE,FALSE,,,,Noun: 2nd Declension,War and Peace
640,vīnum -ī n.,"vine, wine",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Animals/Plants
85,vir virī m.,man,,,,FALSE,FALSE,,,,Noun: 2nd Declension,People
418,virgō -inis f.,"maiden, virgin, girl",,,,FALSE,FALSE,,,,Noun: 3rd Declension,People
111,virtūs -ūtis f.,"valor, manliness, virtue",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Personality Traits/Characteristics
115,vīs f.,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",,,,FALSE,FALSE,,,,Noun: 3rd Declension,War and Peace
87,vīta -ae f.,life,,,,TRUE,FALSE,,,,Noun: 1st Declension,Life and Being
326,vitium -ī n.,"flaw, fault, crime",,,,TRUE,FALSE,,,,Noun: 2nd Declension,Justice
881,vītō -āre,"avoid, shun",,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Social Life
156,vīvō vīvere vīxī vīctum,live,,,,FALSE,FALSE,,,,Verb: 3rd Conjugation -ō,Life and Being
352,vix,scarcely,,,,TRUE,FALSE,,,,Adverb,Conjunctions/Adverbs
158,vocō -āre,call,,,,TRUE,FALSE,,,,Verb: 1st Conjugation,Speech/Oratory
66,volō velle voluī,"wish, be willing",volo1,,,TRUE,FALSE,,,,Verb: Irregular,Emotions
977,volucer -cris -cre,flying,,volucer not found in Morpheus ,,TRUE,FALSE,,,,Adjective: 3rd Declension,Animals/Plants
976,volucris -is f./m.,bird,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Animals/Plants
859,voluntās -ātis f.,"wish, desire",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Emotions
378,voluptās -ātis f.,"pleasure, enjoyment",,,,TRUE,FALSE,,,,Noun: 3rd Declension,Social Life
130,vōs,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",tu,,,TRUE,FALSE,,,,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
334,vōtum -ī n.,"solemn promise, vow; hope",,,,FALSE,FALSE,,,,Noun: 2nd Declension,Religion
169,vōx vōcis f.,"voice, utterance",,,,FALSE,FALSE,,,,Noun: 3rd Declension,Speech/Oratory
991,vulgō,commonly,vulgo1,L&S say see vulgus,,FALSE,FALSE,,,,Adverb,The City
675,vulgus -ī n. and m.,the common people,,,,FALSE,FALSE,,,,Noun: 2nd Declension,The City
327,vulnus -eris n.,wound,,,,FALSE,FALSE,,,,Noun: 3rd Declension,Violence
209,vultus -ūs m.,"look, expression, face",,,,FALSE,FALSE,,,,Noun: 4th Declension,The Body
