"ego, nōs",7,"I, we",,
enim,6,"for; in fact; yes, truly",,
"eō, īre, iī (or īvī) itūrus",23,to go,,
"epistula, epistulae, f.",13,letter,,
equidem,24,"truly, indeed",,
"equus, equī, m.",15,horse,,
"ēripiō, ēripere, ēripuī, ēreptus",28,"to snatch away; rescue, free",,
"errō, errāre, errāvī, errātus",4,to wander; err,,
et 1,2,and,,
et 2,9,"even, also",,
et … et,2,both … and,,
etiam,11,"also, even",,
ex (+ abl.),4,"out of, from",,
"exemplum, exemplī, n.",5,"example, model",,
"exeō, exīre, exiī (or -īvī) exitūrus",23,"to go out, exit",,
"exercitus, exercitūs, m.",16,army,,
"exspectō, exspectāre, exspectāvī, exspectātus",26,"to wait for, expect; hope for",,
"fābula, fābulae, f.",3,story,,
"faciēs, faciēī, f.",16,face; appearance,,
facile,4,easily,,
"facilis, facile",10,easy,,
"faciō, facere, fēcī, factus",8,to do; make,,
"factum, factī, n.",4,"deed, act, exploit, achievement",,
"fāma, fāmae, f.",6,"fame, report, reputation; rumor",,
"fās, n.",31,right; divine law,,
"fātum, fātī, n.",17,"fate, destiny",,
"fēlīx, fēlīcis",10,"fortunate, lucky",,
"fēmina, fēminae, f.",1,woman,,
"ferō, ferre, tulī, lātus",23,"to carry, bear, endure; report, say",,
"ferōx, ferōcis",32,"fierce, bold; wild, savage",,
"ferrum, ferrī, n.",17,iron; sword,,
"ferus, fera, ferum",32,"wild, fierce; cruel; uncivilized",,
"fessus, fessa, fessum",13,tired,,
"festīnō, festīnāre, festīnāvī, festīnātus",4,"to hurry, hasten",,
"fidēlis, fidēle",12,"faithful, loyal (to)",,
"fidēs, fideī, f.",16,"faith, trust; loyalty, trustworthiness",,
"fīdō, fīdere, fīsus sum (+ dat.)",22,"to trust, confide in",,
"fīlia, fīliae, f.",6,daughter,,
"fīlius, fīliī, m.",3,son,,
"fīniō, fīnīre, fīnīvī, fīnītus",9,"to end, finish; limit; die",,
"finis, finis, f. ",13,"end, border; (pl.) boundary, territory",,
"fīō, fierī, factus sum",28,"to happen, occur; be done, be made",,
"flōreō, flōrēre, flōruī, —",24,"to bloom; prosper, flourish",,
"flūctus, flūctūs, m.",16,wave; commotion,,
"flūmen, flūminis, n.",12,river,,
forsitan,24,perhaps,,
forte,12,by chance,,
"fortis, forte",10,brave; strong,,
fortiter,20,bravely; forcefully,,
"fortūna, fortūnae, f.",1,"chance, luck, fortune",,
"frangō, frangere, frēgī, frāctus",15,"to break, shatter, wreck",,
"frāter, frātris, m.",7,brother,,
"frūctus, frūctūs, m.",24,"fruit, enjoyment; profit",,
"fruor, fruī, frūctus sum (+ abl.)",22,to enjoy,,
"fugiō, fugere, fūgī, fugitūrus",9,"to flee (from), escape, avoid",,
"fungor, fungī, fūnctus sum (+ abl.)",22,"to perform, do",,
"Gallia, Galliae, f.",15,Gaul,,
