lemma	headword	definition	chapter
dies 	"diēs, diēī, m. or f."	day (fem. used when it is an appointed or set day)	16
difficilis	"difficilis, difficile"	difficult	10
dignus	"dignus, digna, dignum"	"worthy; worth, fitting [+ abl. or gen.]"	15
dimitto	"dīmittō, dīmittere, dīmīsī, dīmissus"	"to send away, send forth; dismiss; abandon"	24
dirus	"dīrus, dīra, dīrum"	"awful, horrible"	26
discedo	"discēdō, discēdere, discessī, discessūrus"	"to depart, go away; separate"	11
disco	"discō, discere, didicī, —"	to learn	13
diu	diū	for a long time	6
divinus	"dīvīnus, dīvīna, dīvīnum"	"divine, of the gods; prophetic"	5
do	"dō, dare, dedī, datus"	to give	3
doceo	"doceō, docēre, docuī, doctus"	"to teach (often with 2 accusatives: one of the person, the other of the thing taught)"	8
doleo	"doleō, dolēre, doluī, dolitūrus"	"to grieve, mourn, suffer pain"	6
dolor	"dolor, dolōris, m."	"pain, sorrow"	15
dolus	"dolus, dolī, m."	"trick, deceit"	19
dominus	"dominus, dominī, m."	"master, lord"	2
domus	"domus, domūs, f."	"house(hold), home"	16
donum	"dōnum, dōnī, n."	"gift, present"	2
dormio	"dormiō, dormīre, dormīvī, dormitūrus"	to sleep	8
dubito	"dubitō, dubitāre, dubitāvī, dubitātus"	"to hesitate, doubt"	2
duco 	"dūcō, dūcere, dūxī, ductus"	to lead	8
dulcis	"dulcis, dulce"	sweet; pleasant	10
dum	dum	"while, as long as [with indicative]"	12
dum	dum	until [with subjunctive]	26
duo	"duō, duae, duō"	two	11
durus	"dūrus, dūra, dūrum"	"hard, harsh, rough"	31
dux	"dux, ducis, m."	"(military) leader, commander"	7
ex	ē	"out of, from [+ abl.]"	4
efficio	"efficiō, efficere, effēcī, effectus"	"to bring about, produce"	18
ego	"ego, meī, mihi, mē, mē"	"I, me"	7
nos	"nōs, nostrum (nostrī), nōbīs, nōs, nōbīs"	"we, us"	7
enim	enim	"for; in fact; yes, truly"	6
eo	"eō, īre, iī (or īvī) itūrus"	to go	23
epistula	"epistula, epistulae, f."	letter	13
equidem	equidem	"truly, indeed"	24
equus	"equus, equī, m."	horse	15
eripio	"ēripiō, ēripere, ēripuī, ēreptus"	"to snatch away; rescue, free"	28
erro	"errō, errāre, errāvī, errātus"	to wander; err	4
et	et	and	2
et	et	"even, also"	9
et	et … et	both … and	2
etiam	etiam	"also, even"	11
ex	ex	"out of, from [+ abl.]"	4
exemplum	"exemplum, exemplī, n."	"example, model"	5
exeo	"exeō, exīre, exiī (or -īvī) exitūrus"	"to go out, exit"	23
exercitus2	"exercitus, exercitūs, m."	army	16
exspecto	"exspectō, exspectāre, exspectāvī, exspectātus"	"to wait for, expect; hope for"	26
fabula	"fābula, fābulae, f."	story	3
facies	"faciēs, faciēī, f."	face; appearance	16
facile	facile	easily	4
facilis	"facilis, facile"	easy	10
facio	"faciō, facere, fēcī, factus"	to do; make	8
factum	"factum, factī, n."	"deed, act, exploit, achievement"	4
fama	"fāma, fāmae, f."	"fame, report, reputation; rumor"	6
fas	"fās, n."	right; divine law	31
fatum	"fātum, fātī, n."	"fate, destiny"	17
felix	"fēlīx, fēlīcis"	"fortunate, lucky"	10
femina	"fēmina, fēminae, f."	woman	1
fero	"ferō, ferre, tulī, lātus"	"to carry, bear, endure; report, say"	23
ferox	"ferōx, ferōcis"	"fierce, bold; wild, savage"	32
ferrum	"ferrum, ferrī, n."	iron; sword	17
ferus	"ferus, fera, ferum"	"wild, fierce; cruel; uncivilized"	32
fessus	"fessus, fessa, fessum"	tired	13
festino	"festīnō, festīnāre, festīnāvī, festīnātus"	"to hurry, hasten"	4
fidelis	"fidēlis, fidēle"	"faithful, loyal (to)"	12
fides	"fidēs, fideī, f."	"faith, trust; loyalty, trustworthiness"	16
fido	"fīdō, fīdere, fīsus sum"	"to trust, confide in [+ dat.]"	22
filia	"fīlia, fīliae, f."	daughter	6
filius	"fīlius, fīliī, m."	son	3
finio	"fīniō, fīnīre, fīnīvī, fīnītus"	"to end, finish; limit; die"	9
finis	"finis, finis, f. "	"end, border; (pl.) boundary, territory"	13
fio	"fīō, fierī, factus sum"	"to happen, occur; be done, be made"	28
floreo	"flōreō, flōrēre, flōruī, —"	"to bloom; prosper, flourish"	24
fluctus	"flūctus, flūctūs, m."	wave; commotion	16
flumen	"flūmen, flūminis, n."	river	12
forsitan	forsitan	perhaps	24
forte	forte	by chance	12
fortis	"fortis, forte"	brave; strong	10
fortiter	fortiter	bravely; forcefully	20
fortuna	"fortūna, fortūnae, f."	"chance, luck, fortune"	1
frango	"frangō, frangere, frēgī, frāctus"	"to break, shatter, wreck"	15
frater	"frāter, frātris, m."	brother	7
fructus2	"frūctus, frūctūs, m."	"fruit, enjoyment; profit"	24
fruor	"fruor, fruī, frūctus sum"	to enjoy [+ abl.]	22
fugio	"fugiō, fugere, fūgī, fugitūrus"	"to flee (from), escape, avoid"	9
fungor	"fungor, fungī, fūnctus sum"	"to perform, do [+ abl.]"	22
	"Gallia, Galliae, f."	Gaul	15
gaudeo	"gaudeō, gaudēre, gāvīsus sum"	"to rejoice, be glad; delight in [+ abl.]"	19
gaudium	"gaudium, gaudiī, n."	"joy, delight"	17
gens	"gēns, gentis, f. "	clan	12
genu	"genū, genūs, n."	knee	16
genus	"genus, generis, n."	birth	14
gero	"gerō, gerere, gessī, gestus"	to bear	12
gladius	"gladius, gladiī, m. "	sword	28
gloria	"glōria, glōriae, f."	"glory, fame; ambition, boasting"	24
	"Graecia, Graeciae, f."	Greece	20
graecus	"Graecus, Graeca, Graecum"	Greek	18
gratia	gratiā	"for the sake of, because of [+ gen.]"	10
gratia	"grātia, grātiae, f."	"grace; favor, kindness; gratitude"	10
gravis	"gravis, grave"	"heavy; serious, important; difficult"	21
habeo	"habeō, habēre, habuī, habitus"	to have; consider	1
hic2	hīc	here	31
hic	"hic, haec, hoc"	this	9
hinc	hinc	from this place; hence	31
hodie	hodiē	today	13
homo	"homō, hominis, m."	"human being, man"	7
honestus	"honestus, honesta, honestum"	"honest, worthy, honorable"	31
honor	"honor, honōris, m."	"honor, respect; public office"	14
hora	"hōra, hōrae, f."	"hour, season"	11
hortor	"hortor, hortārī, hortātus sum"	"to urge, encourage"	24
hostis	"hostis, hostis, m. "	"enemy (of the state, usually used in the plural; contrast inimīcus = a personal enemy)"	14
humus	"humus, humī, f."	"ground, earth"	15
